HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-03-19 22:00;2024-03-19 23:00;DK1;567,489990;76,099998
2024-03-19 21:00;2024-03-19 22:00;DK1;607,760010;81,500000
2024-03-19 20:00;2024-03-19 21:00;DK1;647,880005;86,879997
2024-03-19 19:00;2024-03-19 20:00;DK1;800,599976;107,360001
2024-03-19 18:00;2024-03-19 19:00;DK1;934,090027;125,260002
2024-03-19 17:00;2024-03-19 18:00;DK1;838,559998;112,449997
2024-03-19 16:00;2024-03-19 17:00;DK1;676,369995;90,699997
2024-03-19 15:00;2024-03-19 16:00;DK1;486,660004;65,260002
2024-03-19 14:00;2024-03-19 15:00;DK1;464,579987;62,299999
2024-03-19 13:00;2024-03-19 14:00;DK1;419,390015;56,240002
2024-03-19 12:00;2024-03-19 13:00;DK1;409,850006;54,959999
2024-03-19 11:00;2024-03-19 12:00;DK1;406,190002;54,470001
2024-03-19 10:00;2024-03-19 11:00;DK1;428,119995;57,410000
2024-03-19 09:00;2024-03-19 10:00;DK1;478,380005;64,150002
2024-03-19 08:00;2024-03-19 09:00;DK1;537,070007;72,019997
2024-03-19 07:00;2024-03-19 08:00;DK1;714,919983;95,870003
2024-03-19 06:00;2024-03-19 07:00;DK1;678,900024;91,040001
2024-03-19 05:00;2024-03-19 06:00;DK1;453,769989;60,849998
2024-03-19 04:00;2024-03-19 05:00;DK1;422,000000;56,590000
2024-03-19 03:00;2024-03-19 04:00;DK1;398,209991;53,400002
2024-03-19 02:00;2024-03-19 03:00;DK1;384,269989;51,529999
2024-03-19 01:00;2024-03-19 02:00;DK1;422,519989;56,660000
2024-03-19 00:00;2024-03-19 01:00;DK1;415,140015;55,669998
2024-03-18 23:00;2024-03-19 00:00;DK1;422,899994;56,709999
2024-03-18 22:00;2024-03-18 23:00;DK1;425,010010;56,990002
2024-03-18 21:00;2024-03-18 22:00;DK1;530,979980;71,199997
2024-03-18 20:00;2024-03-18 21:00;DK1;594,669983;79,739998
2024-03-18 19:00;2024-03-18 20:00;DK1;729,950012;97,879997
2024-03-18 18:00;2024-03-18 19:00;DK1;709,659973;95,160004
2024-03-18 17:00;2024-03-18 18:00;DK1;555,289978;74,459999
2024-03-18 16:00;2024-03-18 17:00;DK1;515,239990;69,089996
2024-03-18 15:00;2024-03-18 16:00;DK1;509,950012;68,379997
2024-03-18 14:00;2024-03-18 15:00;DK1;484,739990;65,000000
2024-03-18 13:00;2024-03-18 14:00;DK1;430,670013;57,750000
2024-03-18 12:00;2024-03-18 13:00;DK1;452,899994;60,730000
2024-03-18 11:00;2024-03-18 12:00;DK1;469,450012;62,950001
2024-03-18 10:00;2024-03-18 11:00;DK1;485,040009;65,040001
2024-03-18 09:00;2024-03-18 10:00;DK1;537,090027;72,019997
2024-03-18 08:00;2024-03-18 09:00;DK1;602,650024;80,809998
2024-03-18 07:00;2024-03-18 08:00;DK1;702,200012;94,160004
2024-03-18 06:00;2024-03-18 07:00;DK1;514,270020;68,959999
2024-03-18 05:00;2024-03-18 06:00;DK1;442,829987;59,380001
2024-03-18 04:00;2024-03-18 05:00;DK1;427,019989;57,259998
2024-03-18 03:00;2024-03-18 04:00;DK1;416,579987;55,860001
2024-03-18 02:00;2024-03-18 03:00;DK1;415,239990;55,680000
2024-03-18 01:00;2024-03-18 02:00;DK1;416,279999;55,820000
2024-03-18 00:00;2024-03-18 01:00;DK1;417,329987;55,959999
2024-03-17 23:00;2024-03-18 00:00;DK1;418,970001;56,180000
2024-03-17 22:00;2024-03-17 23:00;DK1;417,250000;55,950001
2024-03-17 21:00;2024-03-17 22:00;DK1;425,450012;57,049999
2024-03-17 20:00;2024-03-17 21:00;DK1;443,350006;59,450001
2024-03-17 19:00;2024-03-17 20:00;DK1;468,630005;62,840000
2024-03-17 18:00;2024-03-17 19:00;DK1;658,429993;88,290001
2024-03-17 17:00;2024-03-17 18:00;DK1;701,830017;94,110001
2024-03-17 16:00;2024-03-17 17:00;DK1;617,929993;82,860001
2024-03-17 15:00;2024-03-17 16:00;DK1;535,150024;71,760002
2024-03-17 14:00;2024-03-17 15:00;DK1;418,519989;56,119999
2024-03-17 13:00;2024-03-17 14:00;DK1;358,410004;48,060001
