HourUTC;HourDK;PriceArea;ForecastType;ForecastDayAhead;ForecastIntraday;Forecast5Hour;Forecast1Hour;ForecastCurrent;TimestampUTC;TimestampDK
2024-02-29 23:00;2024-03-01 00:00;DK2;Onshore Wind;285,541656;322,416656;304,125000;293,791656;322,416656;2024-02-29 22:58;2024-02-29 23:58
2024-03-01 00:00;2024-03-01 01:00;DK2;Onshore Wind;270,083344;327,458344;279,750000;291,666656;327,458344;2024-03-01 00:03;2024-03-01 01:03
2024-03-01 01:00;2024-03-01 02:00;DK2;Onshore Wind;252,625000;316,916656;262,375000;301,833344;316,916656;2024-03-01 00:58;2024-03-01 01:58
2024-03-01 02:00;2024-03-01 03:00;DK2;Onshore Wind;236,875000;292,291656;252,041672;298,750000;292,291656;2024-03-01 01:58;2024-03-01 02:58
2024-03-01 03:00;2024-03-01 04:00;DK2;Onshore Wind;228,666672;301,083344;253,000000;276,041656;301,083344;2024-03-01 03:03;2024-03-01 04:03
2024-03-01 04:00;2024-03-01 05:00;DK2;Onshore Wind;217,916672;279,333344;262,958344;281,833344;279,333344;2024-03-01 03:58;2024-03-01 04:58
2024-03-01 05:00;2024-03-01 06:00;DK2;Onshore Wind;199,750000;266,625000;244,916672;245,375000;266,625000;2024-03-01 04:58;2024-03-01 05:58
2024-03-01 06:00;2024-03-01 07:00;DK2;Onshore Wind;181,083328;264,500000;223,291672;237,916672;264,500000;2024-03-01 06:03;2024-03-01 07:03
2024-03-01 07:00;2024-03-01 08:00;DK2;Onshore Wind;196,000000;256,500000;232,416672;265,625000;256,500000;2024-03-01 06:58;2024-03-01 07:58
2024-03-01 08:00;2024-03-01 09:00;DK2;Onshore Wind;191,333328;245,083328;236,625000;245,083328;240,500000;2024-03-01 07:58;2024-03-01 08:58
2024-03-01 09:00;2024-03-01 10:00;DK2;Onshore Wind;170,500000;228,125000;216,583328;213,375000;234,958328;2024-03-01 09:03;2024-03-01 10:03
2024-03-01 10:00;2024-03-01 11:00;DK2;Onshore Wind;145,208328;203,708328;208,041672;197,333328;223,416672;2024-03-01 09:58;2024-03-01 10:58
2024-03-01 11:00;2024-03-01 12:00;DK2;Onshore Wind;126,916664;188,083328;197,000000;198,916672;188,208328;2024-03-01 10:58;2024-03-01 11:58
2024-03-01 12:00;2024-03-01 13:00;DK2;Onshore Wind;114,708336;173,958328;173,958328;164,916672;181,041672;2024-03-01 12:03;2024-03-01 13:03
2024-03-01 13:00;2024-03-01 14:00;DK2;Onshore Wind;102,333336;150,791672;142,250000;151,791672;154,833328;2024-03-01 13:01;2024-03-01 14:01
2024-03-01 14:00;2024-03-01 15:00;DK2;Onshore Wind;86,333336;131,000000;131,291672;126,750000;128,750000;2024-03-01 14:01;2024-03-01 15:01
2024-03-01 15:00;2024-03-01 16:00;DK2;Onshore Wind;73,375000;117,416664;124,541664;109,000000;109,416664;2024-03-01 15:01;2024-03-01 16:01
2024-03-01 16:00;2024-03-01 17:00;DK2;Onshore Wind;61,083332;108,000000;101,666664;97,125000;83,000000;2024-03-01 16:01;2024-03-01 17:01
2024-03-01 17:00;2024-03-01 18:00;DK2;Onshore Wind;51,708332;92,500000;101,708336;74,458336;79,500000;2024-03-01 16:57;2024-03-01 17:57
2024-03-01 18:00;2024-03-01 19:00;DK2;Onshore Wind;57,250000;89,375000;105,375000;84,875000;120,000000;2024-03-01 18:03;2024-03-01 19:03
2024-03-01 19:00;2024-03-01 20:00;DK2;Onshore Wind;70,791664;98,791664;115,375000;120,250000;160,166672;2024-03-01 18:58;2024-03-01 19:58
2024-03-01 20:00;2024-03-01 21:00;DK2;Onshore Wind;77,583336;102,208336;111,541664;147,375000;156,458328;2024-03-01 19:58;2024-03-01 20:58
2024-03-01 21:00;2024-03-01 22:00;DK2;Onshore Wind;70,500000;97,458336;92,458336;131,791672;114,208336;2024-03-01 21:03;2024-03-01 22:03
2024-03-01 22:00;2024-03-01 23:00;DK2;Onshore Wind;58,416668;74,250000;71,916664;92,083336;69,916664;2024-03-01 21:58;2024-03-01 22:58
2024-03-01 23:00;2024-03-02 00:00;DK2;Onshore Wind;64,875000;88,041664;71,541664;65,375000;88,041664;2024-03-01 22:58;2024-03-01 23:58
2024-03-02 00:00;2024-03-02 01:00;DK2;Onshore Wind;64,750000;78,791664;87,708336;83,083336;78,791664;2024-03-02 00:03;2024-03-02 01:03
2024-03-02 01:00;2024-03-02 02:00;DK2;Onshore Wind;77,791664;97,208336;105,083336;82,666664;97,208336;2024-03-02 00:58;2024-03-02 01:58
2024-03-02 02:00;2024-03-02 03:00;DK2;Onshore Wind;91,375000;106,208336;105,333336;103,916664;106,208336;2024-03-02 01:58;2024-03-02 02:58
2024-03-02 03:00;2024-03-02 04:00;DK2;Onshore Wind;86,291664;118,791664;87,166664;109,791664;118,791664;2024-03-02 03:03;2024-03-02 04:03
2024-03-02 04:00;2024-03-02 05:00;DK2;Onshore Wind;72,833336;114,500000;90,791664;105,875000;114,500000;2024-03-02 03:58;2024-03-02 04:58
2024-03-02 05:00;2024-03-02 06:00;DK2;Onshore Wind;62,458332;93,041664;76,375000;94,583336;93,041664;2024-03-02 04:58;2024-03-02 05:58
2024-03-02 06:00;2024-03-02 07:00;DK2;Onshore Wind;54,333332;110,333336;76,000000;85,208336;110,333336;2024-03-02 06:03;2024-03-02 07:03
2024-03-02 07:00;2024-03-02 08:00;DK2;Onshore Wind;57,791668;115,375000;92,875000;116,958336;115,375000;2024-03-02 06:58;2024-03-02 07:58
2024-03-02 08:00;2024-03-02 09:00;DK2;Onshore Wind;59,625000;110,333336;93,416664;110,333336;115,500000;2024-03-02 07:58;2024-03-02 08:58
2024-03-02 09:00;2024-03-02 10:00;DK2;Onshore Wind;56,916668;97,083336;93,750000;97,000000;93,083336;2024-03-02 09:03;2024-03-02 10:03
2024-03-02 10:00;2024-03-02 11:00;DK2;Onshore Wind;56,125000;92,375000;84,958336;85,041664;84,083336;2024-03-02 10:01;2024-03-02 11:01
2024-03-02 11:00;2024-03-02 12:00;DK2;Onshore Wind;49,416668;79,250000;82,500000;78,625000;72,333336;2024-03-02 10:57;2024-03-02 11:57
2024-03-02 12:00;2024-03-02 13:00;DK2;Onshore Wind;44,250000;71,000000;71,000000;66,708336;80,958336;2024-03-02 12:01;2024-03-02 13:01
2024-03-02 13:00;2024-03-02 14:00;DK2;Onshore Wind;41,375000;70,416664;68,375000;70,875000;59,333332;2024-03-02 13:01;2024-03-02 14:01
2024-03-02 14:00;2024-03-02 15:00;DK2;Onshore Wind;40,000000;74,958336;69,125000;57,708332;52,500000;2024-03-02 13:58;2024-03-02 14:58
2024-03-02 15:00;2024-03-02 16:00;DK2;Onshore Wind;42,333332;81,500000;77,583336;57,416668;66,708336;2024-03-02 15:03;2024-03-02 16:03
2024-03-02 16:00;2024-03-02 17:00;DK2;Onshore Wind;51,625000;91,458336;77,708336;74,041664;71,916664;2024-03-02 15:58;2024-03-02 16:58
2024-03-02 17:00;2024-03-02 18:00;DK2;Onshore Wind;58,041668;94,708336;90,500000;79,708336;88,041664;2024-03-02 16:58;2024-03-02 17:58
2024-03-02 18:00;2024-03-02 19:00;DK2;Onshore Wind;70,083336;97,583336;94,833336;108,208336;119,916664;2024-03-02 18:03;2024-03-02 19:03
2024-03-02 19:00;2024-03-02 20:00;DK2;Onshore Wind;85,208336;114,458336;109,791664;131,708328;145,333328;2024-03-02 18:58;2024-03-02 19:58
2024-03-02 20:00;2024-03-02 21:00;DK2;Onshore Wind;87,833336;123,166664;128,166672;145,541672;134,750000;2024-03-02 19:58;2024-03-02 20:58
2024-03-02 21:00;2024-03-02 22:00;DK2;Onshore Wind;86,291664;122,333336;134,291672;133,833328;146,375000;2024-03-02 21:03;2024-03-02 22:03
2024-03-02 22:00;2024-03-02 23:00;DK2;Onshore Wind;87,333336;114,458336;145,125000;146,000000;107,083336;2024-03-02 21:58;2024-03-02 22:58
2024-03-02 23:00;2024-03-03 00:00;DK2;Onshore Wind;148,250000;121,250000;148,458328;118,041664;121,250000;2024-03-02 22:58;2024-03-02 23:58
2024-03-03 00:00;2024-03-03 01:00;DK2;Onshore Wind;136,416672;128,541672;141,041672;110,500000;128,541672;2024-03-03 00:03;2024-03-03 01:03
2024-03-03 01:00;2024-03-03 02:00;DK2;Onshore Wind;125,125000;117,625000;125,291664;113,458336;117,625000;2024-03-03 00:58;2024-03-03 01:58
2024-03-03 02:00;2024-03-03 03:00;DK2;Onshore Wind;122,666664;125,166664;136,458328;115,125000;125,166664;2024-03-03 01:58;2024-03-03 02:58
2024-03-03 03:00;2024-03-03 04:00;DK2;Onshore Wind;124,666664;110,291664;116,000000;125,333336;110,291664;2024-03-03 03:01;2024-03-03 04:01
2024-03-03 04:00;2024-03-03 05:00;DK2;Onshore Wind;124,333336;117,500000;124,375000;117,250000;117,500000;2024-03-03 03:58;2024-03-03 04:58
2024-03-03 05:00;2024-03-03 06:00;DK2;Onshore Wind;129,833328;133,500000;128,125000;113,625000;133,500000;2024-03-03 04:58;2024-03-03 05:58
2024-03-03 06:00;2024-03-03 07:00;DK2;Onshore Wind;139,875000;177,750000;134,208328;136,291672;177,750000;2024-03-03 06:03;2024-03-03 07:03
2024-03-03 07:00;2024-03-03 08:00;DK2;Onshore Wind;181,291672;195,291672;170,916672;201,833328;195,291672;2024-03-03 07:01;2024-03-03 08:01
2024-03-03 08:00;2024-03-03 09:00;DK2;Onshore Wind;212,166672;209,166672;183,458328;209,166672;179,083328;2024-03-03 07:57;2024-03-03 08:57
2024-03-03 09:00;2024-03-03 10:00;DK2;Onshore Wind;212,375000;202,541672;185,916672;173,166672;203,458328;2024-03-03 09:07;2024-03-03 10:07
2024-03-03 10:00;2024-03-03 11:00;DK2;Onshore Wind;224,333328;200,250000;196,666672;186,666672;224,583328;2024-03-03 10:01;2024-03-03 11:01
2024-03-03 11:00;2024-03-03 12:00;DK2;Onshore Wind;211,958328;194,250000;200,791672;219,250000;226,166672;2024-03-03 10:58;2024-03-03 11:58
2024-03-03 12:00;2024-03-03 13:00;DK2;Onshore Wind;211,833328;195,125000;195,125000;231,375000;239,750000;2024-03-03 12:03;2024-03-03 13:03
2024-03-03 13:00;2024-03-03 14:00;DK2;Onshore Wind;214,250000;196,333328;184,083328;226,500000;236,000000;2024-03-03 13:01;2024-03-03 14:01
2024-03-03 14:00;2024-03-03 15:00;DK2;Onshore Wind;211,875000;203,958328;199,708328;227,958328;249,458328;2024-03-03 13:58;2024-03-03 14:58
2024-03-03 15:00;2024-03-03 16:00;DK2;Onshore Wind;219,250000;213,000000;227,125000;248,583328;269,708344;2024-03-03 15:02;2024-03-03 16:02
2024-03-03 16:00;2024-03-03 17:00;DK2;Onshore Wind;218,750000;207,333328;219,958328;270,000000;260,458344;2024-03-03 16:00;2024-03-03 17:00
